2025-04-15 05:12:41.555 [] INFO  - com.springbootmongo.SpringBootProjectWithMongoDbApplication - Starting SpringBootProjectWithMongoDbApplication using Java 21.0.3 with PID 10976 (C:\Users\mukes\IdeaProjects\User-and-Journal-Project-\target\classes started by mukes in C:\Users\mukes\IdeaProjects\User-and-Journal-Project-)
2025-04-15 05:12:41.563 [] INFO  - com.springbootmongo.SpringBootProjectWithMongoDbApplication - The following 1 profile is active: "dev"
2025-04-15 05:12:42.714 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2025-04-15 05:12:42.768 [] INFO  - org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 47 ms. Found 2 MongoDB repository interfaces.
2025-04-15 05:12:43.292 [] INFO  - org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8182 (http)
2025-04-15 05:12:43.302 [] INFO  - org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8182"]
2025-04-15 05:12:43.304 [] INFO  - org.apache.catalina.core.StandardService - Starting service [Tomcat]
2025-04-15 05:12:43.304 [] INFO  - org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.36]
2025-04-15 05:12:43.347 [] INFO  - org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/journal] - Initializing Spring embedded WebApplicationContext
2025-04-15 05:12:43.347 [] INFO  - org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1712 ms
2025-04-15 05:12:43.774 [] INFO  - org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.2.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Amazon.com Inc./21.0.3+9-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='mukeshyadavbt01', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsCommandListener@52f9e8bb], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2035d65b, com.mongodb.Jep395RecordCodecProvider@240a2619, com.mongodb.KotlinCodecProvider@4e3283f6]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.xx3j9.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-7ljfqw-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[io.micrometer.core.instrument.binder.mongodb.MongoMetricsConnectionPoolListener@539316bb], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-04-15 05:12:43.793 [] INFO  - org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.xx3j9.mongodb.net:27017 to client view of cluster
2025-04-15 05:12:43.827 [] INFO  - org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.xx3j9.mongodb.net:27017 to client view of cluster
2025-04-15 05:12:43.831 [] INFO  - org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.xx3j9.mongodb.net:27017 to client view of cluster
2025-04-15 05:12:44.181 [] INFO  - org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29992 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-00.xx3j9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.xx3j9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-01.xx3j9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
